V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144
0.024954677,0.80945766,4.4589043,1.8485259,0.9561594,2.1275287,2.858419,1.1224186,4.6734724,2.0500827,1.4877738,3.2067564,1.2961237,1.8596841,0.567924,-0.328614,1.394015,-0.772123,-1.7669404,0.46513525,0.80619276,0.268641,2.6158028,-0.55947876,-0.17132938,1.0194607,-0.9546451,1.5263942,1.1340303,2.4600153,0.8493712,2.0039048,3.9339375,0.72924054,3.8051863,1.239718,-1.3331368,1.3202343,0.83046305,2.3689957,2.0848515,1.1939893,0.7744843,1.1533098,3.9577537,-0.73763853,1.7057543,1.9105254,6.417454,2.7733114,1.9123867,0.25610447,1.1053846,2.9144979,5.887762,-2.6805387,0.96311235,1.304152,0.17960572,1.1690856,-0.0023055673,0.70431924,1.7241714,3.3170626,0.29444647,1.1996133,2.3271942,0.7741299,3.015492,0.34429473,3.1237996,-1.9909635,5.6675506,0.18312621,0.49835673,-0.94981,-1.2414818,-0.4050259,-1.6077282,-0.23557585,-0.38736635,-0.880092,1.354942,0.79747736,2.4815454,0.359174,1.5308523,1.2187238,0.44244027,1.3552998,3.991885,-0.35852414,4.321561,3.1649332,0.9059558,-0.8430347,3.1084037,1.7475578,2.0801096,-1.724685,0.3181399,1.4708695,0.81612444,4.701736,2.5233674,4.5551386,1.7791076,0.016747773,2.1126642,0.5679935,0.74043155,0.5274235,-0.10664892,1.887711,1.9560697,-0.18279758,2.2267814,0.80805814,2.5747557,6.0154943,4.7571955,0.30871677,0.38085836,3.2457032,2.2685266,-0.8751507,0.5068185,2.5678818,4.006854,0.97581935,4.020187,3.2794683,0.5011608,-0.28981912,-0.91579556,3.5074658,0.2865696,-0.40877914,2.2355404,0.30230582,0.98904634,1.329315,2.9986181,0.5728998
1.843182,1.020081,1.6672977,2.8855224,-0.105903625,0.89909667,3.237325,1.7844819,2.5284646,2.45502,1.1674061,4.2934647,1.1406785,2.291257,-0.5762303,-0.15541041,0.17664695,0.026297212,-1.0459781,0.9000515,0.2526667,0.7420738,0.93779886,1.1156731,1.781655,0.5097772,0.87655306,2.1101365,-0.8482258,2.7597823,1.0032413,-0.6176663,0.59787774,2.9164138,3.693996,0.58461463,0.008824348,1.5092909,1.5000031,0.680929,1.0349091,0.7810086,1.9216888,1.7605609,4.39795,0.03067267,1.7325644,0.7936455,2.3390002,2.3184426,1.9878974,2.2532244,2.3327396,2.9716127,5.2685013,-1.234761,0.8085289,1.9344901,-0.22521824,0.6756613,-0.017773062,2.885682,0.81275696,1.1376262,-0.3697365,0.6183742,2.89925,1.9140238,1.4247901,0.63205785,2.2043464,0.48987415,3.4092538,0.38352728,0.9778323,-0.89494616,-0.1790924,0.068276405,1.025172,0.5121412,1.3289257,2.091762,0.00793016,1.4784254,1.7412972,1.6513742,0.2884438,2.5723763,0.40009034,2.331022,1.2782156,2.2450652,1.6131012,1.1780779,2.106063,1.7079319,1.4235448,-1.2653625,1.7264067,0.5148859,3.8407564,1.6866226,0.49571192,2.289899,4.35777,3.6264703,2.9722972,1.9351093,0.9307599,0.6390611,1.8569894,0.062064618,-0.40867382,1.0963906,0.9753932,-0.4236201,1.0711317,0.7770966,1.1116062,5.0070057,1.521018,0.50929296,1.2706587,3.9585063,1.9651921,0.19167495,2.5018606,1.3366599,2.8321266,-0.5777558,2.7312465,1.1825237,1.9183035,0.41097307,-0.60052097,3.4646626,0.059583426,1.388405,2.1009073,1.3103528,1.3412504,1.9816961,0.61171377,1.747437
1.5310887,1.6013722,0.04908681,2.37162,-0.09718418,-0.35008734,2.5574586,1.3414378,0.25820455,1.3572996,-0.70675355,1.9654374,0.098329425,2.3777423,0.52342653,0.5928297,0.2627883,1.856497,0.7432421,0.020073652,-1.0507975,1.8631401,1.0161637,0.8060415,0.24641943,-0.51209605,3.7517576,1.9416753,1.3123043,2.870504,-0.078605175,-3.0473146,-1.0234022,2.9698849,1.6662346,1.922215,-0.38764572,1.214143,-0.3639586,-0.78093004,1.2649382,0.15500379,1.6379025,3.8459525,3.9586053,0.81525373,1.2162261,0.52158463,0.041917562,1.6207483,-0.017252445,0.83450687,1.1397486,1.3872874,2.9413273,-1.6009607,0.5579399,1.007463,-0.31410587,1.0624356,0.6991228,1.2776086,-0.8531091,0.21913815,-0.7677793,-1.618932,2.741438,0.35909972,1.0281178,-0.99522364,3.0080829,1.7716334,2.0292978,-0.3038813,2.0323505,-0.75791836,0.2798152,-0.6999738,1.3310809,1.0367392,2.1654766,2.2081552,1.3688561,1.2049278,3.2137895,1.1741709,-0.43895495,0.847705,0.08490896,2.77603,0.43949586,1.3563528,0.70037127,0.38674507,0.022990704,1.5479697,1.6556406,-1.4189984,1.5128189,-0.6513008,5.7454853,1.4529319,0.39908767,2.584476,3.5111365,1.0017958,3.47708,3.3868375,1.8954382,0.26345336,1.154112,0.8237026,1.0461781,0.22172236,0.51050276,-1.9081488,0.61812305,0.7688689,0.9799535,2.5308836,-0.896104,1.2101719,1.1171038,3.9023273,-0.0129208565,2.4499972,1.2522762,1.38176,2.3800843,0.83100295,1.2208707,-0.6574367,0.90203464,0.14865291,0.27277422,2.3287668,-2.0041835,-0.5841465,0.061916947,1.2974331,2.3941956,1.0572253,-0.8705423,1.3892264
2.029983,2.877901,1.7514539,2.7354524,1.5962635,2.4664009,3.4828763,1.1392386,4.3042893,5.260688,2.2089667,1.5931072,1.9371725,0.99546397,0.7603688,0.25584233,0.5157577,0.09737486,-0.37792504,1.7345082,1.5491782,1.6229188,3.0893292,0.7347014,1.3716441,1.9583435,-1.3524,-0.44866765,-0.4190243,3.2506318,2.320006,1.8089201,2.2440722,3.2196825,1.587013,1.5203454,-0.90501046,0.95333016,0.82833636,1.2432262,1.7854804,1.9113649,0.39642686,0.9363938,2.2272873,0.9606928,2.0559227,0.9913876,4.825953,1.6434915,0.47829127,0.86237705,2.2930872,2.4415033,5.219458,-2.0805082,2.8517516,1.9628973,0.061217546,1.9891108,0.98211336,1.198213,1.2257919,2.1716068,0.5486295,4.1310015,2.2886586,1.2679945,2.1359234,0.8954202,1.798078,-0.8343624,3.2106493,0.6540656,-0.5078405,-0.7939496,-1.1304848,0.40900734,-0.1804347,-0.53961515,0.34310424,0.032237723,1.8173959,1.5594262,1.7569985,1.138209,0.94351935,1.4592068,0.38166726,1.0886606,4.0658007,0.059141517,1.4510567,0.6180131,2.159176,-0.4534633,3.3457415,0.794145,2.986559,-1.5542879,0.25966144,2.5429006,1.1167231,-0.06009406,2.9707046,1.8749084,2.345016,0.33328116,0.32689917,0.35047817,1.1679498,0.5007403,1.2257929,1.577621,2.1849072,-0.33003485,3.1488104,0.8054686,4.133042,5.1264515,3.569416,1.6865897,0.38598624,2.5182977,2.425912,-0.4585865,0.6306743,3.5590749,3.1115162,0.7228699,3.1676955,1.3168416,1.0426846,0.6914109,-0.9285855,3.9433641,0.9860016,0.62423074,2.781693,1.1956444,0.4714303,1.1080427,2.9498339,1.2192981
2.2808905,2.6515737,1.9812238,2.4654381,1.4714855,3.2790465,2.6327155,1.980486,4.414404,5.1942544,3.184546,3.7482586,1.9125936,3.0005536,-0.38020992,-1.009754,0.3902061,0.55936843,0.087771416,0.7054779,0.7136117,1.5919138,2.850314,0.07706714,2.3474793,2.3054323,-2.6785223,2.2936406,0.65476537,2.7384124,3.4343,2.308081,2.0085125,2.0189085,1.9238768,1.4758098,-0.21139264,0.29507512,1.3666687,1.5281378,2.472973,1.9244218,0.50859827,2.0837507,3.4595246,0.6806215,2.831861,2.2405586,5.2972665,2.1667695,3.9416835,1.8334516,1.5360711,2.3115354,5.679658,-1.6168633,3.088697,1.2869285,0.840065,1.5233577,1.6323781,0.4510038,0.33632433,1.2375805,-0.16615653,3.5293796,1.8234267,1.7158821,1.744916,2.2491736,3.3635068,-0.68859386,2.718944,0.8381145,0.08497527,-0.3629223,-3.6395164,0.3891298,-0.5397537,0.36771953,0.55146575,-0.75136566,0.5261804,2.3247285,3.39523,1.5001969,0.9303353,2.0783815,-0.47008455,0.7700926,3.8928156,-0.46252,3.6374404,2.2220643,1.869732,-0.12497482,3.0893242,1.1967425,3.095439,-1.5029391,0.92289376,2.7416625,1.1822801,3.1654665,2.773417,4.4466414,2.4320312,1.8066864,0.0806613,0.9570472,0.4723066,0.36901134,1.8995663,3.3154535,1.6199758,0.7910495,3.3946776,0.81279767,3.3494353,4.112752,3.400962,0.41735172,0.63743895,2.9553556,1.5525705,-0.85037136,1.1263205,2.4701972,2.9136763,0.9405637,3.0202403,2.3384378,1.7449259,1.182904,0.58992195,4.6281047,1.6337283,0.42884314,2.7178411,1.9152942,-0.10761249,1.7747858,3.9579298,1.1515076
-0.0039004087,1.3486532,0.2052713,-0.78829104,0.3058443,3.427711,3.6114411,-0.021196306,3.0264,3.4173112,1.8570204,0.56174827,1.6010745,4.7075615,2.0231895,0.09855676,-0.048354626,2.6672668,0.25538754,0.012697473,2.0786018,2.9494634,2.700238,1.7922305,2.2083359,-0.43530944,-1.8329862,2.9583087,2.7635043,2.4331336,-0.43330884,0.6110519,-0.515563,0.23787847,0.8818719,1.5028682,0.60075855,-0.40385008,1.8487217,-0.04794556,0.94941044,1.7225724,2.0155258,5.681656,1.2443004,-0.0045201182,0.9985975,-0.40984976,2.7530856,2.0604434,3.6524427,0.033439398,0.58139944,-1.291936,3.152424,0.0894914,0.64500517,0.41172874,-0.19410944,1.341503,1.0346423,1.2769141,-0.93370795,-0.4247485,1.477468,0.41243005,1.3106928,-0.907399,0.36657023,0.40394008,1.1600804,2.1581872,2.871004,-0.7971976,0.90939784,0.16047668,-0.04837513,1.2193155,1.4322611,1.2555164,0.35930556,1.8829641,0.56728995,3.4505372,1.5356722,0.7879398,4.49799,-0.46684504,0.8794116,1.7671152,0.5456469,-0.2640379,4.4652386,-0.06613562,-0.20922756,0.09304565,0.7978498,-0.04596308,0.7167268,-1.8136506,1.6268983,1.4538021,1.8543642,0.18300942,4.380994,-0.5212744,-0.05846107,0.7804717,3.5152287,0.15501338,2.644043,1.7562966,3.7699573,0.05302334,0.32116547,-0.21672201,1.1923727,2.2403533,2.1341474,4.8265505,0.6484901,-0.4954667,1.9281518,-0.1135385,0.30849576,1.3461848,0.99815553,-0.18525365,1.1886201,0.009561777,0.6369555,1.317234,-0.047479868,0.71403867,0.38418853,1.5396485,-0.56391025,1.5884677,-0.6199652,2.8366203,0.7642993,-0.08506322,2.3407495,-0.6558869
1.4858426,1.937905,0.22154784,-0.20552635,-1.1810188,-0.9282823,1.3711339,0.75836027,-1.3665383,2.8043618,0.48908263,2.7643595,-0.038071573,2.5364456,1.4959092,0.8487351,0.6604514,1.4381752,1.2104995,0.9117279,-0.85001254,2.8228416,2.0856473,1.9890498,3.0851285,-0.8582537,5.615917,2.6299329,1.9353437,2.8917584,-0.8273382,-3.1669102,-1.9348192,2.4334168,2.4523902,1.7808348,-0.25667524,0.85633445,1.6540952,-0.7552259,0.9979501,-0.04505378,0.85556567,3.8330212,2.2033968,0.85351044,1.8807652,0.07481134,-1.0053971,1.008187,1.2861211,1.3942661,1.0875429,1.023722,2.2791755,-1.2746444,-0.25571418,0.37607527,-0.44321567,1.0066313,-0.3117618,2.5525784,-0.76127344,-1.0327804,0.51403314,-1.42874,2.6289923,-0.38296914,1.1008193,-0.82218295,1.5185493,2.835487,4.593997,0.09038746,2.5802276,0.02692914,1.1231613,2.0295305,4.2653136,1.7253659,1.8066787,2.8899834,2.2301414,1.9883538,2.975656,1.8702669,1.0486288,0.2969422,1.3207287,1.5738431,-1.5844915,2.290167,3.11845,1.1241801,0.78561294,2.9597464,1.7837044,-0.93246174,0.30208635,-0.08892453,6.806259,2.3201616,0.7427684,1.7538455,3.349337,2.1583405,4.9765368,3.4117444,3.535819,0.24530506,0.94566166,0.3343802,0.9776196,0.94576836,0.8738667,-0.78968644,0.55508137,1.8990524,-0.3272779,2.823293,-0.14249158,1.6585383,2.0362844,2.0829728,1.4514246,1.4663734,1.4194196,0.74765337,1.882375,-0.84745264,1.3367584,1.4015362,1.5900986,0.2002685,1.2627063,2.8959937,0.4042312,1.0970397,-2.0904293,1.6734114,2.4153821,1.0820556,-1.6494,1.458951
4.292038,1.1520149,-0.046349764,3.2017832,-1.2485129,-0.9019629,1.3502285,2.201521,-0.15416873,1.8549848,-1.3903842,3.167656,0.8918344,0.24536753,0.02708745,1.1836295,-0.66767526,1.5513407,-0.20080507,2.3687022,-1.6677632,0.80110216,3.2004066,2.072497,1.1782722,1.0117826,4.65454,0.71442145,-0.94159865,4.1909685,3.6735005,-2.0446873,-1.6485081,2.9441488,2.462409,1.9267431,0.25150824,0.048852444,-0.21948409,-0.2578087,1.0958538,-0.6057743,-0.14329493,2.268966,0.8840449,-0.94697136,2.611049,1.282502,-1.5539346,-0.7284839,1.8048244,3.3061566,2.3080091,4.142401,3.515711,0.24419275,0.3529865,2.0184143,0.14999342,-0.6289222,0.28372917,5.4468284,0.60567117,-0.041116595,-0.6443932,0.98721015,2.0700831,0.9646692,1.7526622,0.63012767,0.5999944,1.9818366,3.8499231,0.6999779,1.4359428,-1.0228819,0.3812189,0.41970658,2.2118764,0.47957206,3.004215,2.2007828,0.3374288,2.6632638,1.4613667,1.9916581,-0.7749282,1.8162618,0.1887008,0.3368647,0.051771402,2.816447,0.15255642,-0.11278668,4.0533895,2.1428175,-0.17597067,-1.8848028,2.749347,1.0362009,5.3917813,2.487101,-0.07085264,0.94498974,3.4575124,4.645178,5.0431213,4.6727724,1.1136051,0.6828805,-0.11803651,-0.5426535,0.85559225,2.3861141,1.1164659,-0.1990788,1.5217738,1.4764242,-0.73253655,2.4976866,0.41547418,1.8762736,1.3482745,3.6656358,1.4504937,1.3375282,1.0603476,1.7882088,3.2218575,-0.486619,4.5514708,0.402421,3.6660705,1.721357,0.646636,3.5809298,0.019986153,1.5250065,1.019824,2.3679917,2.8917773,1.7642922,-1.9048893,2.3740835
1.2418903,1.3711486,1.8836925,-0.99310076,-0.21366733,4.6509447,3.326673,0.54782385,3.8457477,4.317402,2.8660402,1.1855474,2.2914228,4.0273266,2.2581496,-0.3186819,-0.65833366,3.430815,3.4816284,1.6618989,3.4784927,2.440738,2.6951056,1.691278,3.4000187,-0.4310409,-3.0783384,2.4328918,3.1172678,2.5941844,-0.3821597,2.3328385,1.5871708,0.35323575,-1.7460248,2.0859187,-0.1847794,-0.39860487,1.8878062,1.2863219,1.1995443,1.7344645,0.7310175,5.5497475,-0.16505909,-0.6865494,0.8314233,1.5401082,5.0465565,2.609611,5.501446,1.1670935,1.6547663,-0.55649865,3.7078545,1.5255467,1.1688937,0.5778809,1.8396782,1.4892869,2.0793512,1.5894995,0.18330044,0.76024115,1.0378194,1.1349648,1.4331293,-0.63337225,0.8428576,0.66124564,1.9052871,1.598594,3.6123428,0.20720887,1.9109033,1.0679235,-0.6020956,1.2878829,0.28466296,1.2231417,-0.923367,0.90986,0.6457032,3.062733,0.441023,0.9071224,4.547281,0.060531378,0.73837256,0.99504465,1.3444486,-0.85243714,6.773774,2.4884093,-0.7773084,0.4881937,1.3735197,1.1364298,0.8730037,-1.1822996,0.98138374,0.5446583,2.0097923,2.0778213,2.5182347,2.7770214,0.18921044,0.4433142,3.2000751,1.3153266,1.3651472,0.7965607,5.566064,1.0650858,0.32228604,0.32665408,1.5894907,3.1189387,2.170065,3.7329357,0.42625046,-0.26999235,1.3733621,-0.37951136,1.0318406,1.0322806,2.1481128,1.4031075,0.48182306,-0.48581874,0.2303567,2.9498303,-0.2017008,1.03539,1.856389,2.0766244,0.18698251,2.1336908,0.020422667,3.0631127,0.42197585,-0.1912384,3.3340578,-0.4130764
2.571649,2.223758,2.959691,2.9496148,0.05749619,2.6430824,3.7010388,0.55682194,5.049332,2.1513324,3.0187888,4.8194246,2.2206416,2.3530123,0.47312737,0.18528724,0.29873526,1.0490398,1.0793037,2.0180972,0.9601121,1.9978788,0.59141064,1.0258886,3.9670014,1.030646,-0.529819,0.85837793,-1.0402455,2.8206143,2.4385633,1.5447711,2.825734,2.4872775,0.55671763,3.3305423,0.049582243,0.02316022,1.7832417,1.7481993,1.5961851,1.3612646,0.28296977,1.6020365,2.4651265,0.63502353,1.6509442,1.8038992,5.7961283,1.8905916,5.2221417,1.861746,1.3608193,1.232662,3.907996,0.014715254,1.6792701,2.606642,0.99160314,0.74077153,0.81697726,4.3351707,1.0294778,2.3880894,0.97438407,2.5600982,1.9598808,1.095356,2.3206654,2.1188154,6.087336,-0.3703804,4.6717715,3.092397,0.6722306,-1.1268526,-1.332892,0.23182069,-1.0602098,0.17257369,1.3256527,0.62424976,0.8632473,1.5381113,1.0291139,1.6916149,1.9902196,5.349475,0.41422784,0.25115958,3.7604485,-0.42670795,1.5869286,3.488068,2.0201573,2.892554,2.006002,0.637835,4.4764843,-1.1817952,2.3075848,0.8544564,2.2122889,4.6185327,2.716117,5.1673775,3.5253506,1.0035757,1.7370155,1.2480102,0.22176862,0.6918958,0.84194714,2.1765575,1.5898188,3.623752,3.4295413,0.95851517,3.2111592,3.3414268,3.2567272,-0.73106635,0.31839788,2.9569936,2.901538,-0.63581043,2.5949826,0.7441399,2.5994172,-0.37274075,3.7569308,1.8831291,1.3371629,3.9020576,1.0206423,5.4431653,0.92087674,1.314221,2.9060845,2.091694,1.3473195,1.1800002,2.6937344,0.9322424
